X_Serie_0,Y_Serie_0
9.0405E-001,-9.8436E-005
1.4186E+000,-9.9550E-005
1.9346E+000,-9.8986E-005
2.4491E+000,-9.8838E-005
2.9642E+000,-9.8340E-005
3.4786E+000,-9.7711E-005
3.9923E+000,-9.7627E-005
4.5076E+000,-9.7640E-005
5.0233E+000,-9.7764E-005
5.5380E+000,-9.7893E-005
6.0523E+000,-9.7909E-005
6.5670E+000,-9.7631E-005
7.0824E+000,-9.7362E-005
7.5960E+000,-9.7230E-005
8.1113E+000,-9.6963E-005
8.6257E+000,-9.6705E-005
9.1410E+000,-9.6603E-005
9.6557E+000,-9.6694E-005
1.0170E+001,-9.7232E-005
1.0686E+001,-9.7673E-005
1.1200E+001,-9.7880E-005
1.1715E+001,-9.8198E-005
1.2230E+001,-9.8017E-005
1.2744E+001,-9.7716E-005
1.3259E+001,-9.8005E-005
1.3774E+001,-9.8575E-005
1.4289E+001,-9.8461E-005
1.4803E+001,-9.7937E-005
1.5318E+001,-9.7185E-005
1.5833E+001,-9.7105E-005
1.6347E+001,-9.6966E-005
1.6862E+001,-9.6186E-005
1.7377E+001,-9.5067E-005
1.7892E+001,-9.4818E-005
1.8406E+001,-9.5239E-005
1.8921E+001,-9.5569E-005
1.9436E+001,-9.5426E-005
1.9951E+001,-9.5513E-005
2.0466E+001,-9.5584E-005
2.0980E+001,-9.5579E-005
2.1494E+001,-9.5840E-005
2.2010E+001,-9.6248E-005
2.2524E+001,-9.5890E-005
2.3039E+001,-9.5208E-005
2.3554E+001,-9.4597E-005
2.4069E+001,-9.4546E-005
2.4583E+001,-9.4869E-005
2.5098E+001,-9.4547E-005
2.5613E+001,-9.4619E-005
2.6128E+001,-9.4820E-005
2.6642E+001,-9.5161E-005
2.7157E+001,-9.5399E-005
2.7672E+001,-9.5481E-005
2.8187E+001,-9.5739E-005
2.8701E+001,-9.5851E-005
2.9216E+001,-9.5269E-005
2.9731E+001,-9.4639E-005
3.0246E+001,-9.4835E-005
3.0760E+001,-9.5042E-005
3.1275E+001,-9.4770E-005
3.1790E+001,-9.5026E-005
3.2305E+001,-9.5105E-005
3.2819E+001,-9.4655E-005
3.3334E+001,-9.4355E-005
3.3849E+001,-9.4194E-005
3.4364E+001,-9.4416E-005
3.4879E+001,-9.4658E-005
3.5393E+001,-9.4761E-005
3.5908E+001,-9.5212E-005
3.6423E+001,-9.5392E-005
3.6938E+001,-9.5297E-005
3.7452E+001,-9.5058E-005
3.7967E+001,-9.4451E-005
3.8482E+001,-9.4596E-005
3.8996E+001,-9.5354E-005
3.9511E+001,-9.5642E-005
4.0026E+001,-9.5363E-005
4.0541E+001,-9.4711E-005
4.1055E+001,-9.3711E-005
4.1570E+001,-9.3785E-005
4.2085E+001,-9.4824E-005
4.2600E+001,-9.5547E-005
4.3115E+001,-9.5273E-005
4.3629E+001,-9.5223E-005
4.4144E+001,-9.5552E-005
4.4659E+001,-9.5836E-005
4.5174E+001,-9.5864E-005
4.5688E+001,-9.5390E-005
4.6203E+001,-9.5510E-005
4.6718E+001,-9.5698E-005
4.7233E+001,-9.5311E-005
4.7747E+001,-9.5001E-005
4.8262E+001,-9.5156E-005
4.8777E+001,-9.5884E-005
4.9292E+001,-9.5648E-005
4.9806E+001,-9.4847E-005
5.0321E+001,-9.4929E-005
5.0836E+001,-9.4986E-005
5.1351E+001,-9.5001E-005
5.1865E+001,-9.5363E-005
5.2380E+001,-9.5721E-005
5.2895E+001,-9.5695E-005
5.3410E+001,-9.5751E-005
5.3924E+001,-9.5917E-005
5.4439E+001,-9.5782E-005
5.4954E+001,-9.5941E-005
5.5469E+001,-9.6723E-005
5.5983E+001,-9.7664E-005
5.6498E+001,-9.8392E-005
5.7013E+001,-9.9134E-005
5.7528E+001,-9.9647E-005
5.8042E+001,-9.9956E-005
5.8557E+001,-1.0080E-004
5.9072E+001,-1.0148E-004
5.9587E+001,-1.0238E-004
6.0101E+001,-1.0357E-004
6.0616E+001,-1.0405E-004
6.1131E+001,-1.0355E-004
6.1646E+001,-1.0311E-004
6.2160E+001,-1.0316E-004
6.2675E+001,-1.0303E-004
6.3190E+001,-1.0358E-004
6.3705E+001,-1.0429E-004
6.4219E+001,-1.0425E-004
6.4734E+001,-1.0458E-004
6.5249E+001,-1.0463E-004
6.5764E+001,-1.0472E-004
6.6278E+001,-1.0513E-004
6.6793E+001,-1.0541E-004
6.7308E+001,-1.0601E-004
6.7823E+001,-1.0625E-004
6.8337E+001,-1.0662E-004
6.8852E+001,-1.0757E-004
6.9367E+001,-1.0873E-004
6.9882E+001,-1.0884E-004
7.0396E+001,-1.0919E-004
7.0911E+001,-1.0980E-004
7.1426E+001,-1.1020E-004
7.1941E+001,-1.1118E-004
7.2456E+001,-1.1190E-004
7.2970E+001,-1.1204E-004
7.3485E+001,-1.1274E-004
7.4000E+001,-1.1322E-004
7.4515E+001,-1.1368E-004
7.5029E+001,-1.1437E-004
7.5544E+001,-1.1449E-004
7.6059E+001,-1.1484E-004
7.6573E+001,-1.1534E-004
7.7088E+001,-1.1502E-004
7.7603E+001,-1.1477E-004
7.8118E+001,-1.1529E-004
7.8633E+001,-1.1581E-004
7.9147E+001,-1.1625E-004
7.9662E+001,-1.1678E-004
8.0177E+001,-1.1760E-004
8.0692E+001,-1.1851E-004
8.1206E+001,-1.1928E-004
8.1721E+001,-1.2038E-004
8.2236E+001,-1.2112E-004
8.2750E+001,-1.2155E-004
8.3265E+001,-1.2272E-004
8.3780E+001,-1.2386E-004
8.4295E+001,-1.2448E-004
8.4809E+001,-1.2545E-004
8.5324E+001,-1.2664E-004
8.5839E+001,-1.2792E-004
8.6354E+001,-1.2818E-004
8.6868E+001,-1.2850E-004
8.7383E+001,-1.2944E-004
8.7898E+001,-1.3021E-004
8.8413E+001,-1.3096E-004
8.8928E+001,-1.3251E-004
8.9442E+001,-1.3414E-004
8.9957E+001,-1.3547E-004
9.0472E+001,-1.3634E-004
9.0987E+001,-1.3708E-004
9.1501E+001,-1.3806E-004
9.2016E+001,-1.3938E-004
9.2531E+001,-1.4050E-004
9.3046E+001,-1.4161E-004
9.3560E+001,-1.4275E-004
9.4075E+001,-1.4388E-004
9.4590E+001,-1.4520E-004
9.5105E+001,-1.4659E-004
9.5619E+001,-1.4816E-004
9.6134E+001,-1.4956E-004
9.6649E+001,-1.5081E-004
9.7164E+001,-1.5247E-004
9.7678E+001,-1.5417E-004
9.8193E+001,-1.5656E-004
9.8708E+001,-1.5957E-004
9.9222E+001,-1.6206E-004
